"","Hashtag","Year","Month","hash_count"
"1","#coronavirus",2020,1,3351052
"2","#wuhan",2020,1,593929
"3","#china",2020,1,527771
"4","#coronavirusoutbreak",2020,1,263874
"5","#wuhancoronavirus",2020,1,243157
"6","#breaking",2020,1,136539
"7","#coronaoutbreak",2020,1,110367
"8","#coronavir",2020,1,106872
"9","#coronarvirus",2020,1,79920
"10","#hongkong",2020,1,73790
"11","#coronavirus",2020,2,7398350
"12","#covid19",2020,2,1409970
"13","#china",2020,2,1223950
"14","#wuhan",2020,2,706476
"15","#coronavirusoutbreak",2020,2,382939
"16","#wuhancoronavirus",2020,2,181512
"17","#corona",2020,2,139541
"18","#covid2019",2020,2,128436
"19","#hongkong",2020,2,116237
"20","#nomeatnocoronavirus",2020,2,100822
"21","#coronavirus",2020,3,9756224
"22","#covid19",2020,3,8622204
"23","#covid2019",2020,3,330733
"24","#corona",2020,3,328931
"25","#covid",2020,3,291651
"26","#china",2020,3,281294
"27","#coronavirusoutbreak",2020,3,194702
"28","#stayhome",2020,3,168939
"29","#stayathome",2020,3,168205
"30","#coronavirusupdate",2020,3,151603
"31","#covid19",2020,4,13280721
"32","#coronavirus",2020,4,8924186
"33","#stayhome",2020,4,1051870
"34","#covid",2020,4,930255
"35","#lockdown",2020,4,489804
"36","#china",2020,4,443971
"37","#corona",2020,4,305507
"38","#stayathome",2020,4,272965
"39","#covid2019",2020,4,216448
"40","#togetherathome",2020,4,210900
"41","#covid19",2020,5,14223272
"42","#coronavirus",2020,5,8885355
"43","#covid",2020,5,1357491
"44","#stayhome",2020,5,834163
"45","#lockdown",2020,5,654347
"46","#corona",2020,5,272795
"47","#dirumahaja",2020,5,194460
"48","#rgpvspreadingcoronavirus",2020,5,185990
"49","#stayathome",2020,5,170430
"50","#covid19mx",2020,5,164572
"51","#covid19",2020,6,20132674
"52","#coronavirus",2020,6,7454326
"53","#covid",2020,6,1346611
"54","#stayhome",2020,6,700288
"55","#corona",2020,6,572288
"56","#lockdown",2020,6,551347
"57","#blacklivesmatter",2020,6,304858
"58","#breaking",2020,6,219420
"59","#pandemic",2020,6,185244
"60","#postponeneetandjee",2020,6,178375
"61","#covid19",2020,7,20005239
"62","#coronavirus",2020,7,6733544
"63","#covid",2020,7,1611278
"64","#wearamask",2020,7,476436
"65","#corona",2020,7,449959
"66","#lockdown",2020,7,332551
"67","#trumpvirus",2020,7,315848
"68","#hydroxychloroquine",2020,7,259498
"69","#stayhome",2020,7,239532
"70","#breaking",2020,7,234323
"71","#covid19",2020,8,16557933
"72","#coronavirus",2020,8,4806140
"73","#covid",2020,8,1305507
"74","#modijipostponejeeneet",2020,8,791317
"75","#swamyjihelpjeeneet",2020,8,726095
"76","#satyagrahagainstexamsincovid",2020,8,700311
"77","#protestagainstexamsincovid",2020,8,540523
"78","#indiaunitedtopostponejeeneet",2020,8,475592
"79","#corona",2020,8,402855
"80","#postponejeeandneet",2020,8,360832
"81","#covid19",2020,9,8001157
"82","#coronavirus",2020,9,2146659
"83","#covid",2020,9,628417
"84","#wearamask",2020,9,368832
"85","#covidã<U+0083>¼19",2020,9,329534
"86","#trumpknew",2020,9,199095
"87","#corona",2020,9,137995
"88","#stopprivatisationsavegovtjob",2020,9,124034
"89","#speakupforsscrailwaysstudends",2020,9,119044
"90","#bts",2020,9,103565
"91","#covid19",2020,10,12537358
"92","#coronavirus",2020,10,3264831
"93","#covid",2020,10,1209792
"94","#endsars",2020,10,714602
"95","#trump",2020,10,373380
"96","#lockdown",2020,10,370103
"97","#corona",2020,10,350122
"98","#wearamask",2020,10,324305
"99","#trumphascovid",2020,10,228283
"100","#covidã<U+0083>¼19",2020,10,182773
"101","#covid19",2020,11,12236696
"102","#coronavirus",2020,11,2895933
"103","#covid",2020,11,1576538
"104","#lockdown",2020,11,516211
"105","#covidã<U+0083>¼19",2020,11,347291
"106","#corona",2020,11,332714
"107","#wearamask",2020,11,309040
"108","#bts",2020,11,185242
"109","#pandemic",2020,11,149994
"110","#vaccine",2020,11,133789
"111","#covid19",2020,12,5567584
"112","#coronavirus",2020,12,1230846
"113","#covid",2020,12,826762
"114","#lockdown",2020,12,305574
"115","#corona",2020,12,281000
"116","#covidã<U+0083>¼19",2020,12,229290
"117","#vaccine",2020,12,184676
"118","#wearamask",2020,12,164134
"119","#pandemic",2020,12,127977
"120","#breaking",2020,12,114293
"121","#covid19",2021,1,6656531
"122","#coronavirus",2021,1,1202225
"123","#covid",2021,1,887606
"124","#lockdown",2021,1,445906
"125","#corona",2021,1,267563
"126","#vaccine",2021,1,224725
"127","#covidã<U+0083>¼19",2021,1,185878
"128","#stayhome",2021,1,175874
"129","#notimippci",2021,1,146996
"130","#pandemic",2021,1,134565
"131","#covid19",2021,2,4652671
"132","#coronavirus",2021,2,761611
"133","#covid",2021,2,624994
"134","#lockdown",2021,2,310045
"135","#corona",2021,2,229965
"136","#vaccine",2021,2,175885
"137","#covidã<U+0083>¼19",2021,2,157432
"138","#stayhome",2021,2,105160
"139","#pandemic",2021,2,96566
"140","#envideo",2021,2,93853
"141","#covid19",2021,3,5498154
"142","#coronavirus",2021,3,875465
"143","#covid",2021,3,769065
"144","#lockdown",2021,3,340877
"145","#corona",2021,3,303677
"146","#vaccine",2021,3,172053
"147","#covidã<U+0083>¼19",2021,3,155031
"148","#notimippci",2021,3,144945
"149","#astrazeneca",2021,3,143202
"150","#activoscontraelvirus",2021,3,110354
"151","#covid19",2021,4,3015650
"152","#coronavirus",2021,4,525848
"153","#covid",2021,4,486256
"154","#corona",2021,4,192282
"155","#covidã<U+0083>¼19",2021,4,149717
"156","#lockdown",2021,4,134332
"157","#cancelboardexams2021",2021,4,113214
"158","#sputnikvgarantizavida",2021,4,105324
"159","#prevenireselantã­doto",2021,4,96118
"160","#unidosenprevenciã³n",2021,4,92589
